Long URL, Short URL
https://confluence.slac.stanford.edu/pages/viewpage.action?pageId=225993954, https://confluence.slac.stanford.edu/x/4mR4DQ
https://confluence.slac.stanford.edu/pages/viewpage.action?pageId=225993957, https://confluence.slac.stanford.edu/x/5WR4DQ
https://confluence.slac.stanford.edu/pages/viewpage.action?pageId=225993960, https://confluence.slac.stanford.edu/x/6GR4DQ
https://confluence.slac.stanford.edu/pages/viewpage.action?pageId=225993963, https://confluence.slac.stanford.edu/x/62R4DQ
https://confluence.slac.stanford.edu/pages/viewpage.action?pageId=225993966, https://confluence.slac.stanford.edu/x/7mR4DQ
https://confluence.slac.stanford.edu/pages/viewpage.action?pageId=225993969, https://confluence.slac.stanford.edu/x/8WR4DQ
https://confluence.slac.stanford.edu/pages/viewpage.action?pageId=225993972, https://confluence.slac.stanford.edu/x/9GR4DQ
https://confluence.slac.stanford.edu/pages/viewpage.action?pageId=225993975, https://confluence.slac.stanford.edu/x/92R4DQ
https://confluence.slac.stanford.edu/pages/viewpage.action?pageId=225993978, https://confluence.slac.stanford.edu/x/_mR4DQ
https://confluence.slac.stanford.edu/pages/viewpage.action?pageId=225993981, https://confluence.slac.stanford.edu/x/-WR4DQ
https://confluence.slac.stanford.edu/pages/viewpage.action?pageId=225993984, https://confluence.slac.stanford.edu/x/AGV4DQ
https://confluence.slac.stanford.edu/pages/viewpage.action?pageId=225993987, https://confluence.slac.stanford.edu/x/A2V4DQ
https://confluence.slac.stanford.edu/pages/viewpage.action?pageId=225993990, https://confluence.slac.stanford.edu/x/BmV4DQ
https://confluence.slac.stanford.edu/pages/viewpage.action?pageId=225993993, https://confluence.slac.stanford.edu/x/CWV4DQ
https://confluence.slac.stanford.edu/pages/viewpage.action?pageId=225993996, https://confluence.slac.stanford.edu/x/DGV4DQ
