Long URL, Short URL
https://confluence.slac.stanford.edu/pages/viewpage.action?pageId=225995009, https://confluence.slac.stanford.edu/x/AWl4DQ
https://confluence.slac.stanford.edu/pages/viewpage.action?pageId=225995012, https://confluence.slac.stanford.edu/x/BGl4DQ
https://confluence.slac.stanford.edu/pages/viewpage.action?pageId=225995015, https://confluence.slac.stanford.edu/x/B2l4DQ
https://confluence.slac.stanford.edu/pages/viewpage.action?pageId=225995018, https://confluence.slac.stanford.edu/x/Cml4DQ
https://confluence.slac.stanford.edu/pages/viewpage.action?pageId=225995021, https://confluence.slac.stanford.edu/x/DWl4DQ
https://confluence.slac.stanford.edu/pages/viewpage.action?pageId=225995025, https://confluence.slac.stanford.edu/x/EWl4DQ
https://confluence.slac.stanford.edu/pages/viewpage.action?pageId=225995028, https://confluence.slac.stanford.edu/x/FGl4DQ
https://confluence.slac.stanford.edu/pages/viewpage.action?pageId=225995031, https://confluence.slac.stanford.edu/x/F2l4DQ
https://confluence.slac.stanford.edu/pages/viewpage.action?pageId=225995034, https://confluence.slac.stanford.edu/x/Gml4DQ
https://confluence.slac.stanford.edu/pages/viewpage.action?pageId=225995037, https://confluence.slac.stanford.edu/x/HWl4DQ
https://confluence.slac.stanford.edu/pages/viewpage.action?pageId=225995040, https://confluence.slac.stanford.edu/x/IGl4DQ
https://confluence.slac.stanford.edu/pages/viewpage.action?pageId=225995043, https://confluence.slac.stanford.edu/x/I2l4DQ
https://confluence.slac.stanford.edu/pages/viewpage.action?pageId=225995046, https://confluence.slac.stanford.edu/x/Jml4DQ
https://confluence.slac.stanford.edu/pages/viewpage.action?pageId=225995049, https://confluence.slac.stanford.edu/x/KWl4DQ
https://confluence.slac.stanford.edu/pages/viewpage.action?pageId=225995052, https://confluence.slac.stanford.edu/x/LGl4DQ
https://confluence.slac.stanford.edu/pages/viewpage.action?pageId=225995055, https://confluence.slac.stanford.edu/x/L2l4DQ
https://confluence.slac.stanford.edu/pages/viewpage.action?pageId=225995058, https://confluence.slac.stanford.edu/x/Mml4DQ
https://confluence.slac.stanford.edu/pages/viewpage.action?pageId=225995061, https://confluence.slac.stanford.edu/x/NWl4DQ
https://confluence.slac.stanford.edu/pages/viewpage.action?pageId=225995064, https://confluence.slac.stanford.edu/x/OGl4DQ
https://confluence.slac.stanford.edu/pages/viewpage.action?pageId=225995068, https://confluence.slac.stanford.edu/x/PGl4DQ
https://confluence.slac.stanford.edu/pages/viewpage.action?pageId=225995071, https://confluence.slac.stanford.edu/x/P2l4DQ
https://confluence.slac.stanford.edu/pages/viewpage.action?pageId=225995074, https://confluence.slac.stanford.edu/x/Qml4DQ
